country,exchange_rate,currency_code
Australia,0.3267588709901061,AUD
Bangladesh,24.416735233817782,BDT
Brazil,1.1369741318746842,BRL
Canada,0.29463628383945906,CAD
Switzerland,0.19067785144053762,CHF
United Kingdom,0.16945981445008323,GBP
Hong Kong SAR,1.6924694353902316,HKD
Indonesia,3433.2303673244473,IDR
India,18.078835429980977,INR
Japan,32.69842004904345,JPY
South Korea,292.5657847999815,KRW
Mexico,3.8567314896534413,MXN
Philippines,12.332827033280495,PHP
China,1.5557026250808514,CNY
Russia,19.562486044125517,RUB
Saudi Arabia,0.8118690408070979,SAR
Singapore,0.28941958156901165,SGD
Thailand,7.709362729436398,THB
Turkey,7.019491819779123,TRY
Taiwan,6.930471647087664,TWD
United States of America,0.21668540386754845,USD
Vietnam,5409.006607895432,VND
France,0.199169324391188,EUR
Germany,0.199169324391188,EUR
Italy,0.199169324391188,EUR
Spain,0.199169324391188,EUR
Netherlands,0.199169324391188,EUR
Belgium,0.199169324391188,EUR
Austria,0.199169324391188,EUR
Portugal,0.199169324391188,EUR
Finland,0.199169324391188,EUR
Greece,0.199169324391188,EUR
Ireland,0.199169324391188,EUR
Slovakia,0.199169324391188,EUR
Slovenia,0.199169324391188,EUR
Cyprus,0.199169324391188,EUR
Estonia,0.199169324391188,EUR
Latvia,0.199169324391188,EUR
Lithuania,0.199169324391188,EUR
Luxembourg,0.199169324391188,EUR
Malta,0.199169324391188,EUR
Monaco,0.199169324391188,EUR
San Marino,0.199169324391188,EUR
Vatican City,0.199169324391188,EUR
Andorra,0.199169324391188,EUR
Kosovo,0.199169324391188,EUR
Montenegro,0.199169324391188,EUR
North Macedonia,0.199169324391188,EUR
Pakistan,64.794162,PKR
Sri Lanka,68.500594,LKR
Ukraine,9.6246285,UAH
South Africa,4.1043474,ZAR
Namibia,4.1043474,NAD
Zimbabwe,4.1043474,ZWL
Zambia,4.1043474,ZMW
Botswana,4.1043474,BWP
Lesotho,4.1043474,LSL
Eswatini,4.1043474,SZL
Mozambique,4.1043474,MZN
Malawi,4.1043474,MWK
Tanzania,4.1043474,TZS
Uganda,4.1043474,UGX
Kenya,4.1043474,KES
Rwanda,4.1043474,RWF
Burundi,4.1043474,BIF
Somalia,4.1043474,SOS
Ethiopia,4.1043474,ETB
Djibouti,4.1043474,DJF
Sudan,4.1043474,SDG
South Sudan,4.1043474,SSP
Cameroon,0.0076305,XAF
Nigeria,0.0076305,NGN
Ghana,0.0076305,GHS
Central African Republic,0.0076305,XAF
Chad,0.0076305,XAF
Equatorial Guinea,0.0076305,XAF
Gabon,0.0076305,XAF
Congo,0.0076305,XAF
Democratic Republic of the Congo,0.0076305,CDF
Angola,0.0076305,AOA
Kazakhstan,112.50 ,KZT
Uzbekistan,9750.00,UZS
Turkmenistan,1.22,TMT
Belarus,29.00,BYN
Kyrgyzstan,75.00,KGS
Tajikistan,2.53,TJS
Armenia,410.00,AMD
Azerbaijan,56.00,AZN
Georgia,29.00,GEL
Mongolia,30.00,MNT
Iran,30000.00,IRR
Iraq,1450.00,IQD
Afghanistan,80.00,AFN
Syria,515.00,SYP
Jordan,0.71,JOD
Cuba,6.00,CUP
Peru,0.85,PEN
Argentina,232.77,ARS
Bolivia,1.63,BOB
Chile,218.49,CLP
Paraguay,1600.00,PYG
Uruguay,8.50,UYU
Honduras,5.80,HNL
Nicaragua,8.50,NIO
Costa Rica,650.00,CRC
Madagascar,1000.00,MGA
Dem. Rep. Congo,500.00,CDF
Central African Rep.,140.00,Unknown
Egypt,11.60,EGP
Libya,1.13,LYD
Algeria,32.00,DZD
Mali,140.00,XOF
Mauritania,8.5,MRU
Morocco,2.35,MAD
Senegal,140.00,XOF
S. Sudan,30.00,Unknown
Bulgaria,0.42,BGN
Sweden,2.46,SEK
Norway,2.53,NOK
Greenland,1.62,DKK
Denmark,1.62,DKK
Poland,0.42,PLN
Yamen,60.00,Unknown
Oman,0.09,OMR
Qatar,3.64,QAR
Myanmar,500.00,MMK
Cambodia,1000.00,KHR
Papua New Guinea,0.80,PGK
New Zealand,0.38,NZD
Niger,140.00,XOF
Iceland,31.00,ISK
