date,denomination,value
2020-01-01,total,118753.6
2020-02-01,total,114484.9
2020-03-01,total,116386.2
2020-04-01,total,121362.4
2020-05-01,total,127396.2
2020-06-01,total,124966.2
2020-07-01,total,127355.7
2020-08-01,total,126730.3
2020-09-01,total,126375.9
2020-10-01,total,128121.2
2020-11-01,total,128051.4
2020-12-01,total,130424.17163076
2021-01-01,total,137678.2
2021-02-01,total,139124.0
2021-03-01,total,139401.3
2021-04-01,total,142511.9
2021-05-01,total,142765.3
2021-06-01,total,141145.2
2021-07-01,total,142468.7
2021-08-01,total,143841.2
2021-09-01,total,145233.8
2021-10-01,total,146843.9
2021-11-01,total,146943.7
2021-12-01,total,150064.6
2022-01-01,total,155783.4
2022-02-01,total,152236.0
2022-03-01,total,152036.5
2022-04-01,total,165057.4
2022-05-01,total,160594.4
2022-06-01,total,158915.9
2022-07-01,total,157553.4
2022-08-01,total,157227.8
2022-09-01,total,156776.5
2022-10-01,total,157858.6
2022-11-01,total,158563.9
2022-12-01,total,162074.5
2023-01-01,total,166099.7
2023-02-01,total,159544.6
2023-03-01,total,161055.2
2023-04-01,total,165378.3
2023-05-01,total,159226.1
2023-06-01,total,160112.3
2023-07-01,total,158440.3
2023-08-01,total,157988.1
2023-09-01,total,158195.4
2023-10-01,total,158203.3
2023-11-01,total,158579.5
2023-12-01,total,161815.8
2024-01-01,total,166710.70761866
2024-02-01,total,167366.47781873998
2024-03-01,total,168638.32905533005
2024-04-01,total,166539.31152544005
2024-05-01,total,165614.72521538998
2024-06-01,total,166441.95105239004
2024-07-01,total,165061.98169661002
2024-08-01,total,165281.80854936998
2020-01-01,note_1,2697.7
2020-02-01,note_1,2644.3
2020-03-01,note_1,2613.0
2020-04-01,note_1,2765.7
2020-05-01,note_1,2860.2
2020-06-01,note_1,2803.3
2020-07-01,note_1,2759.6
2020-08-01,note_1,2725.9
2020-09-01,note_1,2698.8
2020-10-01,note_1,2681.5
2020-11-01,note_1,2674.6
2020-12-01,note_1,2677.154022
2021-01-01,note_1,2797.917689
2021-02-01,note_1,2790.016779
2021-03-01,note_1,2775.8663245
2021-04-01,note_1,3001.723709
2021-05-01,note_1,3012.6662655
2021-06-01,note_1,2983.81815
2021-07-01,note_1,2958.804983
2021-08-01,note_1,2942.0285525
2021-09-01,note_1,2920.5891615
2021-10-01,note_1,2911.937547
2021-11-01,note_1,2909.622096
2021-12-01,note_1,2948.8807235
2022-01-01,note_1,3042.8366285
2022-02-01,note_1,3020.4277965
2022-03-01,note_1,3078.1107755
2022-04-01,note_1,3267.546536
2022-05-01,note_1,3264.704689
2022-06-01,note_1,3225.588322
2022-07-01,note_1,3184.3508815
2022-08-01,note_1,3124.370902
2022-09-01,note_1,3079.5521745
2022-10-01,note_1,3053.5370025
2022-11-01,note_1,3033.295173
2022-12-01,note_1,3111.135887
2023-01-01,note_1,3155.381271
