date,denomination,value
1975-01-01,total,2391.9
1976-01-01,total,2789.5
1977-01-01,total,3297.6
1978-01-01,total,3796.9
1979-01-01,total,4361.8
1980-01-01,total,5104.6
1981-01-01,total,5492.9
1982-01-01,total,6130.0
1983-01-01,total,6557.8
1984-01-01,total,6561.4
1985-01-01,total,6773.4
1986-01-01,total,7146.1
1987-01-01,total,7965.4
1988-01-01,total,9037.5
1989-01-01,total,9903.8
1990-01-01,total,11223.9
1991-01-01,total,12069.8
1992-01-01,total,13173.7
1993-01-01,total,14649.0
1994-01-01,total,17170.3
1995-01-01,total,18913.2
1996-01-01,total,21065.6
1997-01-01,total,24532.4
1998-01-01,total,20541.4
1999-01-01,total,30483.1
2000-01-01,total,26709.1
2001-01-01,total,25385.5
2002-01-01,total,27137.4
2003-01-01,total,29445.4
2004-01-01,total,32353.9
2005-01-01,total,34396.7
2006-01-01,total,37896.1
2007-01-01,total,42192.4
2008-01-01,total,48042.8
2009-01-01,total,51138.6
2010-01-01,total,55787.8
2011-01-01,total,61874.0
2012-01-01,total,67124.4
2013-01-01,total,73031.1
2014-01-01,total,77734.5
2015-01-01,total,88157.4
2016-01-01,total,97753.3
2017-01-01,total,103585.2
2018-01-01,total,106348.4
2019-01-01,total,114097.3
2020-01-01,total,130424.2
2021-01-01,total,150064.6
2022-01-01,total,162074.5
2023-01-01,total,161815.9
1975-01-01,note_1,102.4
1976-01-01,note_1,114.2
1977-01-01,note_1,128.8
1978-01-01,note_1,145.7
1979-01-01,note_1,162.5
1980-01-01,note_1,187.3
1981-01-01,note_1,212.7
1982-01-01,note_1,217.8
1983-01-01,note_1,226.4
1984-01-01,note_1,215.3
1985-01-01,note_1,222.8
1986-01-01,note_1,245.0
1987-01-01,note_1,267.2
1988-01-01,note_1,297.4
1989-01-01,note_1,324.3
1990-01-01,note_1,332.7
1991-01-01,note_1,336.7
1992-01-01,note_1,300.7
1993-01-01,note_1,233.5
1994-01-01,note_1,206.8
1995-01-01,note_1,193.8
1996-01-01,note_1,174.0
1997-01-01,note_1,163.8
1998-01-01,note_1,154.9
1999-01-01,note_1,149.1
2000-01-01,note_1,396.8
2001-01-01,note_1,607.3
