date,bank,rate,value
2024-01-01,commercial,fdr_1mo,2.659230434782609
2024-02-01,commercial,fdr_1mo,2.6247826086956523
2024-03-01,commercial,fdr_1mo,2.5804347826086955
2024-04-01,commercial,fdr_1mo,2.6630434782608696
2024-05-01,commercial,fdr_1mo,2.645652173913044
2024-06-01,commercial,fdr_1mo,2.5049999999999994
2024-07-01,commercial,fdr_1mo,2.515809090909091
2024-08-01,commercial,fdr_1mo,2.5295454545454543
2024-01-01,commercial,fdr_3mo,2.6870833333333337
2024-02-01,commercial,fdr_3mo,2.686666666666667
2024-03-01,commercial,fdr_3mo,2.693333333333334
2024-04-01,commercial,fdr_3mo,2.6787500000000004
2024-05-01,commercial,fdr_3mo,2.6775
2024-06-01,commercial,fdr_3mo,2.6743478260869566
2024-07-01,commercial,fdr_3mo,2.626521739130435
2024-08-01,commercial,fdr_3mo,2.634782608695652
2024-01-01,commercial,fdr_6mo,2.7479166666666663
2024-02-01,commercial,fdr_6mo,2.7304166666666663
2024-03-01,commercial,fdr_6mo,2.770416666666666
2024-04-01,commercial,fdr_6mo,2.75375
2024-05-01,commercial,fdr_6mo,2.7433333333333327
2024-06-01,commercial,fdr_6mo,2.799565217391304
2024-07-01,commercial,fdr_6mo,2.7191304347826084
2024-08-01,commercial,fdr_6mo,2.712608695652174
2024-01-01,commercial,fdr_9mo,2.865833333333333
2024-02-01,commercial,fdr_9mo,2.8575
2024-03-01,commercial,fdr_9mo,2.853333333333333
2024-04-01,commercial,fdr_9mo,2.8366666666666664
2024-05-01,commercial,fdr_9mo,2.828333333333333
2024-06-01,commercial,fdr_9mo,2.807826086956521
2024-07-01,commercial,fdr_9mo,2.8017391304347825
2024-08-01,commercial,fdr_9mo,2.716086956521739
2024-01-01,commercial,fdr_12mo,2.856521739130435
2024-02-01,commercial,fdr_12mo,2.847826086956522
2024-03-01,commercial,fdr_12mo,2.847826086956522
2024-04-01,commercial,fdr_12mo,2.8282608695652174
2024-05-01,commercial,fdr_12mo,2.819565217391304
2024-06-01,commercial,fdr_12mo,2.7931818181818184
2024-07-01,commercial,fdr_12mo,2.788636363636364
2024-08-01,commercial,fdr_12mo,2.7840909090909096
2024-01-01,commercial,wafdr_1mo,2.5075063791139125
2024-02-01,commercial,wafdr_1mo,2.456188256451801
2024-03-01,commercial,wafdr_1mo,2.476053410000035
2024-04-01,commercial,wafdr_1mo,2.44135158172042
2024-05-01,commercial,wafdr_1mo,2.3930238956025485
2024-06-01,commercial,wafdr_1mo,2.371493806156995
2024-07-01,commercial,wafdr_1mo,2.387220298800821
2024-08-01,commercial,wafdr_1mo,2.380857703312415
2024-01-01,commercial,wafdr_3mo,2.59711503274279
2024-02-01,commercial,wafdr_3mo,2.587527090006333
2024-03-01,commercial,wafdr_3mo,2.577459883783324
2024-04-01,commercial,wafdr_3mo,2.5575813161282546
2024-05-01,commercial,wafdr_3mo,2.5150483264597896
2024-06-01,commercial,wafdr_3mo,2.507148497450934
2024-07-01,commercial,wafdr_3mo,2.4965751106490663
2024-08-01,commercial,wafdr_3mo,2.490103838466518
2024-01-01,commercial,wafdr_6mo,2.645926956396284
2024-02-01,commercial,wafdr_6mo,2.621990209535316
2024-03-01,commercial,wafdr_6mo,2.6199655933101416
2024-04-01,commercial,wafdr_6mo,2.5966971452960803
2024-05-01,commercial,wafdr_6mo,2.5475818168020457
2024-06-01,commercial,wafdr_6mo,2.53936044239222
2024-07-01,commercial,wafdr_6mo,2.5349182022154864
2024-08-01,commercial,wafdr_6mo,2.528170133818607
2024-01-01,commercial,wafdr_9mo,2.6525779042879782
2024-02-01,commercial,wafdr_9mo,2.6116546578228648
2024-03-01,commercial,wafdr_9mo,2.6075048127686062
2024-04-01,commercial,wafdr_9mo,2.607362184411953
2024-05-01,commercial,wafdr_9mo,2.569750640405782
2024-06-01,commercial,wafdr_9mo,2.566423348435022
2024-07-01,commercial,wafdr_9mo,2.562632101174421
2024-08-01,commercial,wafdr_9mo,2.5648276684767968
2024-01-01,commercial,wafdr_12mo,2.7043872474769466
2024-02-01,commercial,wafdr_12mo,2.6682206336378878
2024-03-01,commercial,wafdr_12mo,2.6670491440737387
2024-04-01,commercial,wafdr_12mo,2.6377545963668423
2024-05-01,commercial,wafdr_12mo,2.5989981363006045
2024-06-01,commercial,wafdr_12mo,2.5771823376937264
2024-07-01,commercial,wafdr_12mo,2.5740297113889765
2024-08-01,commercial,wafdr_12mo,2.5705406268413773
2024-01-01,commercial,sr,0.93023
2024-02-01,commercial,sr,0.934565
2024-03-01,commercial,sr,0.93615
2024-04-01,commercial,sr,0.9364900000000004
2024-05-01,commercial,sr,0.939375
2024-06-01,commercial,sr,0.8809473684210526
2024-07-01,commercial,sr,0.871921052631579
2024-08-01,commercial,sr,0.8631526315789475
2024-01-01,commercial,wasr,0.4335790712328689
2024-02-01,commercial,wasr,0.4335790712328689
2024-03-01,commercial,wasr,0.4335790712328689
2024-04-01,commercial,wasr,0.4335790712328689
2024-05-01,commercial,wasr,0.4335790712328689
2024-06-01,commercial,wasr,0.4335790712328689
2024-07-01,commercial,wasr,0.4335790712328689
2024-08-01,commercial,wasr,0.4335790712328689
2024-01-01,commercial,br,3.7127777777777786
2024-02-01,commercial,br,3.7127777777777786
2024-03-01,commercial,br,3.7127777777777786
2024-04-01,commercial,br,3.7127777777777786
2024-05-01,commercial,br,3.7127777777777786
2024-06-01,commercial,br,3.7127777777777786
2024-07-01,commercial,br,3.7127777777777786
2024-08-01,commercial,br,3.7127777777777786
2024-01-01,commercial,wabr,3.665903774804511
2024-02-01,commercial,wabr,3.6655849719597366
2024-03-01,commercial,wabr,3.665023257942456
2024-04-01,commercial,wabr,3.6644892046077775
2024-05-01,commercial,wabr,3.6638175858817874
2024-06-01,commercial,wabr,3.663051472595836
2024-07-01,commercial,wabr,3.662265750857133
2024-08-01,commercial,wabr,3.6616044645880623
2024-01-01,commercial,blr,6.682608695652175
2024-02-01,commercial,blr,6.682608695652175
2024-03-01,commercial,blr,6.682608695652175
2024-04-01,commercial,blr,6.682608695652175
2024-05-01,commercial,blr,6.682608695652175
2024-06-01,commercial,blr,6.681818181818183
2024-07-01,commercial,blr,6.681818181818182
2024-08-01,commercial,blr,6.681818181818182
2024-01-01,commercial,wablr,6.75290722563012
2024-02-01,commercial,wablr,6.752687282175182
2024-03-01,commercial,wablr,6.75260625124907
2024-04-01,commercial,wablr,6.752727737499151
2024-05-01,commercial,wablr,6.752745059100937
2024-06-01,commercial,wablr,6.752129112918185
2024-07-01,commercial,wablr,6.751026527858927
2024-08-01,commercial,wablr,6.751015615806352
2024-01-01,commercial,alr,5.398704
2024-02-01,commercial,alr,5.344647999999999
2024-03-01,commercial,alr,5.3725
2024-04-01,commercial,alr,5.356512
2024-05-01,commercial,alr,5.35006
2024-06-01,commercial,alr,5.324119999999999
2024-07-01,commercial,alr,5.303164000000001
2024-08-01,commercial,alr,5.2620960000000006
2024-01-01,commercial,walr,5.123181409923617
2024-02-01,commercial,walr,5.142221079510846
2024-03-01,commercial,walr,5.121392902724344
2024-04-01,commercial,walr,5.130785939034543
2024-05-01,commercial,walr,5.129038971261316
2024-06-01,commercial,walr,5.118817047984956
2024-07-01,commercial,walr,5.118870911206561
2024-08-01,commercial,walr,5.107775960908157
2024-01-01,investment,fdr_1mo,3.1987
2024-02-01,investment,fdr_1mo,3.1820714285714287
2024-03-01,investment,fdr_1mo,3.298042857142857
2024-04-01,investment,fdr_1mo,3.2680857142857143
2024-05-01,investment,fdr_1mo,3.272042857142857
2024-06-01,investment,fdr_1mo,3.271128571428572
2024-07-01,investment,fdr_1mo,3.286985714285714
2024-08-01,investment,fdr_1mo,3.2465714285714284
2024-01-01,investment,fdr_3mo,3.611428571428572
2024-02-01,investment,fdr_3mo,3.585857142857143
2024-03-01,investment,fdr_3mo,3.4484857142857144
2024-04-01,investment,fdr_3mo,3.517871428571428
2024-05-01,investment,fdr_3mo,3.739957142857144
2024-06-01,investment,fdr_3mo,3.469985714285715
2024-07-01,investment,fdr_3mo,3.473128571428572
2024-08-01,investment,fdr_3mo,3.5563
2024-01-01,investment,fdr_6mo,3.727271428571429
2024-02-01,investment,fdr_6mo,3.5455
2024-03-01,investment,fdr_6mo,3.8618857142857146
2024-04-01,investment,fdr_6mo,3.594642857142857
2024-05-01,investment,fdr_6mo,3.5141714285714287
2024-06-01,investment,fdr_6mo,3.567657142857143
