date,bank,rate,value
1980-01-01,commercial,fdr_1mo,6.125
1981-01-01,commercial,fdr_1mo,9.458333333333334
1982-01-01,commercial,fdr_1mo,8.916666666666666
1983-01-01,commercial,fdr_1mo,7.5
1984-01-01,commercial,fdr_1mo,9.166666666666666
1985-01-01,commercial,fdr_1mo,8.448333333333332
1986-01-01,commercial,fdr_1mo,7.041666666666667
1987-01-01,commercial,fdr_1mo,2.5625
1988-01-01,commercial,fdr_1mo,2.7191666666666663
1989-01-01,commercial,fdr_1mo,4.474166666666668
1990-01-01,commercial,fdr_1mo,5.553333333333334
1991-01-01,commercial,fdr_1mo,6.941666666666667
1992-01-01,commercial,fdr_1mo,7.8450000000000015
1993-01-01,commercial,fdr_1mo,7.0133333333333345
1994-01-01,commercial,fdr_1mo,4.741666666666666
1995-01-01,commercial,fdr_1mo,5.786666666666666
1996-01-01,commercial,fdr_1mo,7.0200000000000005
1997-01-01,commercial,fdr_1mo,7.73
1998-01-01,commercial,fdr_1mo,8.399999999999999
1999-01-01,commercial,fdr_1mo,4.095833333333334
2000-01-01,commercial,fdr_1mo,3.311666666666667
2001-01-01,commercial,fdr_1mo,3.3541666666666674
2002-01-01,commercial,fdr_1mo,3.1999999999999997
2003-01-01,commercial,fdr_1mo,3.0666666666666664
2004-01-01,commercial,fdr_1mo,3
2005-01-01,commercial,fdr_1mo,3.000833333333333
2006-01-01,commercial,fdr_1mo,3.0883333333333334
2007-01-01,commercial,fdr_1mo,3.0908333333333324
2008-01-01,commercial,fdr_1mo,3.07
2009-01-01,commercial,fdr_1mo,2.0574999999999997
2010-01-01,commercial,fdr_1mo,2.4758333333333336
2011-01-01,commercial,fdr_1mo,2.870833333333333
2012-01-01,commercial,fdr_1mo,2.9266666666666676
2013-01-01,commercial,fdr_1mo,2.91
2014-01-01,commercial,fdr_1mo,2.993314814814815
2015-01-01,commercial,fdr_1mo,3.0833333333333335
2016-01-01,commercial,fdr_1mo,2.9749273399758454
2017-01-01,commercial,fdr_1mo,2.874643402777778
2018-01-01,commercial,fdr_1mo,3.071989205917875
2019-01-01,commercial,fdr_1mo,2.9211206521739133
2020-01-01,commercial,fdr_1mo,1.883302536231884
2021-01-01,commercial,fdr_1mo,1.4807119565217395
2022-01-01,commercial,fdr_1mo,1.8414221014492755
2023-01-01,commercial,fdr_1mo,2.579061956521738
1980-01-01,commercial,fdr_3mo,6.229166666666667
1981-01-01,commercial,fdr_3mo,9.6775
1982-01-01,commercial,fdr_3mo,9.75
1983-01-01,commercial,fdr_3mo,8.020833333333334
1984-01-01,commercial,fdr_3mo,9.5
1985-01-01,commercial,fdr_3mo,8.8125
1986-01-01,commercial,fdr_3mo,7.083333333333333
1987-01-01,commercial,fdr_3mo,3.0
1988-01-01,commercial,fdr_3mo,3.2916666666666665
1989-01-01,commercial,fdr_3mo,4.5616666666666665
1990-01-01,commercial,fdr_3mo,5.720833333333332
1991-01-01,commercial,fdr_3mo,7.110833333333335
1992-01-01,commercial,fdr_3mo,7.934999999999999
1993-01-01,commercial,fdr_3mo,7.025833333333334
1994-01-01,commercial,fdr_3mo,4.892499999999999
1995-01-01,commercial,fdr_3mo,5.933333333333334
1996-01-01,commercial,fdr_3mo,7.085
1997-01-01,commercial,fdr_3mo,7.776666666666667
1998-01-01,commercial,fdr_3mo,8.513333333333334
1999-01-01,commercial,fdr_3mo,4.1241666666666665
2000-01-01,commercial,fdr_3mo,3.3608333333333333
2001-01-01,commercial,fdr_3mo,3.3675
2002-01-01,commercial,fdr_3mo,3.2100000000000004
2003-01-01,commercial,fdr_3mo,3.0700000000000003
2004-01-01,commercial,fdr_3mo,3.0
2005-01-01,commercial,fdr_3mo,3.001666666666667
2006-01-01,commercial,fdr_3mo,3.1491666666666673
2007-01-01,commercial,fdr_3mo,3.165833333333333
2008-01-01,commercial,fdr_3mo,3.125833333333334
2009-01-01,commercial,fdr_3mo,2.0816666666666674
2010-01-01,commercial,fdr_3mo,2.5025
2011-01-01,commercial,fdr_3mo,2.910833333333334
2012-01-01,commercial,fdr_3mo,2.9808333333333334
2013-01-01,commercial,fdr_3mo,2.9699999999999993
2014-01-01,commercial,fdr_3mo,3.048107787274455
2015-01-01,commercial,fdr_3mo,3.1344871794871803
2016-01-01,commercial,fdr_3mo,3.028035630341881
2017-01-01,commercial,fdr_3mo,2.924518666666667
2018-01-01,commercial,fdr_3mo,3.1434437222222225
2019-01-01,commercial,fdr_3mo,2.9833906249999997
2020-01-01,commercial,fdr_3mo,1.9548927083333332
2021-01-01,commercial,fdr_3mo,1.5614961805555556
2022-01-01,commercial,fdr_3mo,1.9490500000000004
2023-01-01,commercial,fdr_3mo,2.650416666666667
1980-01-01,commercial,fdr_6mo,6.541666666666667
1981-01-01,commercial,fdr_6mo,9.666666666666666
1982-01-01,commercial,fdr_6mo,9.9375
1983-01-01,commercial,fdr_6mo,8.291666666666666
1984-01-01,commercial,fdr_6mo,9.504166666666666
1985-01-01,commercial,fdr_6mo,9.041666666666666
1986-01-01,commercial,fdr_6mo,7.166666666666667
1987-01-01,commercial,fdr_6mo,3.9691666666666667
1988-01-01,commercial,fdr_6mo,3.573333333333333
1989-01-01,commercial,fdr_6mo,4.773333333333333
1990-01-01,commercial,fdr_6mo,5.996666666666667
1991-01-01,commercial,fdr_6mo,7.267499999999999
1992-01-01,commercial,fdr_6mo,7.969166666666667
1993-01-01,commercial,fdr_6mo,6.981666666666665
1994-01-01,commercial,fdr_6mo,5.090833333333333
1995-01-01,commercial,fdr_6mo,6.142500000000001
1996-01-01,commercial,fdr_6mo,7.1191666666666675
1997-01-01,commercial,fdr_6mo,7.7966666666666695
1998-01-01,commercial,fdr_6mo,8.540000000000001
1999-01-01,commercial,fdr_6mo,4.156666666666666
2000-01-01,commercial,fdr_6mo,0.0
2001-01-01,commercial,fdr_6mo,3.23
2002-01-01,commercial,fdr_6mo,3.2241666666666666
2003-01-01,commercial,fdr_6mo,3.0766666666666667
2004-01-01,commercial,fdr_6mo,3.0016666666666665
2005-01-01,commercial,fdr_6mo,3.0033333333333334
2006-01-01,commercial,fdr_6mo,3.263333333333333
2007-01-01,commercial,fdr_6mo,3.310833333333333
2008-01-01,commercial,fdr_6mo,3.2566666666666677
2009-01-01,commercial,fdr_6mo,2.0916666666666663
2010-01-01,commercial,fdr_6mo,2.5491666666666664
2011-01-01,commercial,fdr_6mo,2.9758333333333336
2012-01-01,commercial,fdr_6mo,3.0391666666666666
2013-01-01,commercial,fdr_6mo,3.02
2014-01-01,commercial,fdr_6mo,3.0991121320037993
2015-01-01,commercial,fdr_6mo,3.1853858974358977
2016-01-01,commercial,fdr_6mo,3.084568196581196
