date,measure,value
2020-01-01,m1_total,449232.11012884
2020-02-01,m1_total,444417.80514811
2020-03-01,m1_total,461694.4595580101
2020-04-01,m1_total,466194.27446946
2020-05-01,m1_total,479419.78954046
2020-06-01,m1_total,488233.2173224599
2020-07-01,m1_total,497168.94691676006
2020-08-01,m1_total,502304.03211076
2020-09-01,m1_total,513225.72411901
2020-10-01,m1_total,519417.46714086
2020-11-01,m1_total,525825.20153627
2020-12-01,m1_total,523662.89473661
2021-01-01,m1_total,535211.2944170199
2021-02-01,m1_total,541124.75379102
2021-03-01,m1_total,549566.7177892202
2021-04-01,m1_total,551531.09767007
2021-05-01,m1_total,551624.1398690201
2021-06-01,m1_total,547706.69414307
2021-07-01,m1_total,550824.87912996
2021-08-01,m1_total,551831.4517726101
2021-09-01,m1_total,562955.70050194
2021-10-01,m1_total,559928.62964454
2021-11-01,m1_total,580847.44867394
2021-12-01,m1_total,578301.87515455
2022-01-01,m1_total,585517.6350947
2022-02-01,m1_total,587656.4733974099
2022-03-01,m1_total,592214.4402320799
2022-04-01,m1_total,603922.9315023798
2022-05-01,m1_total,603888.1266943499
2022-06-01,m1_total,606889.1291666001
2022-07-01,m1_total,602156.94321937
2022-08-01,m1_total,602482.46630246
2022-09-01,m1_total,596710.8164491401
2022-10-01,m1_total,597499.6234892
2022-11-01,m1_total,603199.6885678899
2022-12-01,m1_total,602972.0671806401
2023-01-01,m1_total,600857.99324454
2023-02-01,m1_total,598616.38813149
2023-03-01,m1_total,597566.40462426
2023-04-01,m1_total,595879.31585557
2023-05-01,m1_total,594870.9752604
2023-06-01,m1_total,603367.99977143
2023-07-01,m1_total,594210.59759852
2023-08-01,m1_total,601691.23077311
2023-09-01,m1_total,608282.64575641
2023-10-01,m1_total,617108.42721055
2023-11-01,m1_total,624652.0566070001
2023-12-01,m1_total,638422.9628580001
2024-01-01,m1_total,639207.4085864599
2024-02-01,m1_total,639881.4393100899
2024-03-01,m1_total,645343.9313908301
2024-04-01,m1_total,638476.3322711398
2024-05-01,m1_total,635361.40335719
2024-06-01,m1_total,642137.7683021899
2024-07-01,m1_total,636762.1256045599
2024-08-01,m1_total,637546.5516562699
2020-01-01,m2_total,1950873.04377884
2020-02-01,m2_total,1948485.87988511
2020-03-01,m2_total,1960826.8679140103
2020-04-01,m2_total,1986579.49774246
2020-05-01,m2_total,2000159.77461846
2020-06-01,m2_total,2014091.42495746
2020-07-01,m2_total,2024041.57963676
2020-08-01,m2_total,2026995.31272976
2020-09-01,m2_total,2033284.5467340096
2020-10-01,m2_total,2030760.74933886
2020-11-01,m2_total,2031849.11794127
2020-12-01,m2_total,2037481.0781576096
2021-01-01,m2_total,2043093.47489202
2021-02-01,m2_total,2055196.26331302
2021-03-01,m2_total,2083780.52781322
2021-04-01,m2_total,2073628.23774007
2021-05-01,m2_total,2076555.32190602
2021-06-01,m2_total,2082273.1961050704
2021-07-01,m2_total,2100134.8085819595
2021-08-01,m2_total,2098883.9864876103
2021-09-01,m2_total,2127284.99903094
2021-10-01,m2_total,2122374.47096554
2021-11-01,m2_total,2154570.19183694
2021-12-01,m2_total,2165806.96443855
2022-01-01,m2_total,2171245.8385807
2022-02-01,m2_total,2190249.32216141
2022-03-01,m2_total,2196197.21642808
2022-04-01,m2_total,2209303.37214538
2022-05-01,m2_total,2218313.90301335
2022-06-01,m2_total,2217856.6503956
2022-07-01,m2_total,2214012.13489237
2022-08-01,m2_total,2232643.35947946
