date,measure,value
2024-01-01,m1_total,639207.4085864599
2024-02-01,m1_total,639881.4393100899
2024-03-01,m1_total,645343.9313908301
2024-04-01,m1_total,638476.3322711398
2024-05-01,m1_total,635361.40335719
2024-06-01,m1_total,642137.7683021899
2024-07-01,m1_total,636762.1256045599
2024-08-01,m1_total,637546.5516562699
2024-01-01,m2_total,2400247.28879646
2024-02-01,m2_total,2410933.9520600904
2024-03-01,m2_total,2423483.6823338303
2024-04-01,m2_total,2414039.30061814
2024-05-01,m2_total,2419724.7007381897
2024-06-01,m2_total,2416358.23800019
2024-07-01,m2_total,2412973.10981856
2024-08-01,m2_total,2405108.83539127
2024-01-01,m3_total,2412177.94835346
2024-02-01,m3_total,2423051.56552009
2024-03-01,m3_total,2434180.5037718294
2024-04-01,m3_total,2425707.12272514
2024-05-01,m3_total,2430427.57768419
2024-06-01,m3_total,2426401.30858519
2024-07-01,m3_total,2423037.4646865595
2024-08-01,m3_total,2414067.4718702696
2024-01-01,m1_currency,152505.68857846002
2024-02-01,m1_currency,154131.75291309
2024-03-01,m1_currency,153706.56007682998
2024-04-01,m1_currency,153706.67085014
2024-05-01,m1_currency,153271.57577619
2024-06-01,m1_currency,152658.15747319005
2024-07-01,m1_currency,151949.64132056
2024-08-01,m1_currency,152418.20930727
2024-01-01,m1_deposit_demand,486701.720008
2024-02-01,m1_deposit_demand,485749.686397
2024-03-01,m1_deposit_demand,491637.3713140001
2024-04-01,m1_deposit_demand,484769.661421
2024-05-01,m1_deposit_demand,482089.827581
2024-06-01,m1_deposit_demand,489479.610829
2024-07-01,m1_deposit_demand,484812.484284
2024-08-01,m1_deposit_demand,485128.342349
2024-01-01,m2_deposit_saving,231353.797106
2024-02-01,m2_deposit_saving,235243.428715
2024-03-01,m2_deposit_saving,233316.480185
2024-04-01,m2_deposit_saving,233820.641894
2024-05-01,m2_deposit_saving,234248.50325
2024-06-01,m2_deposit_saving,232568.671726
2024-07-01,m2_deposit_saving,231943.929118
2024-08-01,m2_deposit_saving,232707.289849
2024-01-01,m2_deposit_fixed,1014313.941074
2024-02-01,m2_deposit_fixed,1026274.700217
2024-03-01,m2_deposit_fixed,1035838.113846
2024-04-01,m2_deposit_fixed,1036804.359216
2024-05-01,m2_deposit_fixed,1041762.116276
2024-06-01,m2_deposit_fixed,1034039.948578
2024-07-01,m2_deposit_fixed,1043099.569768
2024-08-01,m2_deposit_fixed,1044039.908212
2024-01-01,m2_nid,1474.593221
2024-02-01,m2_nid,1712.0098430000005
2024-03-01,m2_nid,1802.530195
2024-04-01,m2_nid,1746.616591
2024-05-01,m2_nid,1457.923121
2024-06-01,m2_nid,1493.527046
2024-07-01,m2_nid,1515.078868
2024-08-01,m2_nid,1394.6503859999998
2024-01-01,m2_repo,0.0
2024-02-01,m2_repo,0.0
2024-03-01,m2_repo,0.0
2024-04-01,m2_repo,0.01434
2024-05-01,m2_repo,0.0
2024-06-01,m2_repo,0.0
2024-07-01,m2_repo,159.699682
2024-08-01,m2_repo,159.699682
2024-01-01,m2_deposit_fx,271722.43513
2024-02-01,m2_deposit_fx,271163.25793200004
2024-03-01,m2_deposit_fx,277078.387885
2024-04-01,m2_deposit_fx,276408.32593899994
2024-05-01,m2_deposit_fx,279580.405851
2024-06-01,m2_deposit_fx,284607.793912
2024-07-01,m2_deposit_fx,286592.395668
2024-08-01,m2_deposit_fx,274842.343295
2024-01-01,m2_deposit_other,242175.113679
2024-02-01,m2_deposit_other,236659.116043
2024-03-01,m2_deposit_other,230104.238832
2024-04-01,m2_deposit_other,226783.01036699995
2024-05-01,m2_deposit_other,227314.348883
2024-06-01,m2_deposit_other,221510.528436
2024-07-01,m2_deposit_other,212900.31110999995
2024-08-01,m2_deposit_other,214418.392311
2024-01-01,m3_deposit_other,11930.659557000268
2024-02-01,m3_deposit_other,12117.613459999671
2024-03-01,m3_deposit_other,10696.82143799914
2024-04-01,m3_deposit_other,11667.82210699981
2024-05-01,m3_deposit_other,10702.876946000382
2024-06-01,m3_deposit_other,10043.070585000329
2024-07-01,m3_deposit_other,10064.354867999442
2024-08-01,m3_deposit_other,8958.63647899963
